                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4214,                 6.2607,                0.92523,                0.01463,                0.13551,                0.02654,                0.01714,                 1.1855,                 5.5959,                0.87616,               0.070297,              0.0033003,              0.0033003
                      1,                 1.5305,                 5.2152,                0.90707,                0.55852,                 0.1269,                0.05399,                0.03166,                 1.6071,                 5.1349,                0.94243,               0.040166,              0.0065023,              0.0065023
                      2,                 1.6243,                 4.9968,                0.92644,                0.40625,                0.18803,                0.07572,                0.04547,                 1.4907,                 5.1207,                0.94384,              0.0099023,              0.0095723,              0.0095723
                      3,                 1.5814,                 4.5415,                0.92951,                0.42646,                0.09943,                0.07719,                0.05093,                 1.2603,                 4.4418,                0.90302,               0.009406,               0.009406,               0.009406
                      4,                  1.428,                 4.5669,                0.91878,                 0.5293,                0.22758,                0.09456,                0.06539,                 1.0956,                 4.3578,                0.89406,               0.009406,               0.009406,               0.009406
                      5,                 1.3795,                 4.1948,                0.90251,                0.53968,                0.16347,                0.10832,                0.07179,                 1.2714,                 4.0046,                  0.913,               0.009208,               0.009208,               0.009208
                      6,                 1.4236,                 3.8636,                0.92578,                0.45937,                0.20958,                0.15595,                0.09388,                 1.3465,                 4.0155,                0.93392,                0.00901,                0.00901,                0.00901
                      7,                 1.3461,                 3.7633,                0.91082,                0.64017,                0.19033,                0.16791,                0.09885,                 1.2797,                 3.7001,                 0.9137,               0.008812,               0.008812,               0.008812
                      8,                 1.3103,                 3.6287,                0.89046,                0.56785,                0.17763,                 0.1902,                 0.1334,                 1.1199,                 3.6253,                0.88897,               0.008614,               0.008614,               0.008614
                      9,                 1.2542,                 3.3118,                0.88899,                0.41956,                0.37151,                0.22976,                0.16173,                 1.1275,                 3.2656,                0.88286,               0.008416,               0.008416,               0.008416
                     10,                 1.2675,                  3.261,                0.89116,                0.42551,                0.45701,                0.26198,                0.18522,                 1.0453,                 3.4772,                0.87016,               0.008218,               0.008218,               0.008218
                     11,                  1.156,                 3.0235,                0.88487,                0.42949,                0.37593,                 0.2668,                0.19055,                 1.0016,                 2.9713,                0.87909,                0.00802,                0.00802,                0.00802
                     12,                 1.1716,                 2.9089,                0.88267,                0.52376,                0.34688,                0.29258,                0.19574,                 1.0895,                 3.0126,                0.88047,               0.007822,               0.007822,               0.007822
                     13,                 1.1215,                  2.824,                0.87452,                0.44399,                0.36572,                0.28563,                0.20553,                 1.0343,                 2.9459,                 0.8604,               0.007624,               0.007624,               0.007624
